mth,country,category,category_group,mwh
2015-01-01,austria,biomass,renewable_ex_nuclear,186635
2015-01-01,austria,fossil_gas,fossil,924454.25
2015-01-01,austria,fossil_hard_coal,fossil,210535.75
2015-01-01,austria,hydro_pumped_storage,renewable_ex_nuclear,508485.75
2015-01-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,1476202.75
2015-01-01,austria,hydro_water_reservoir,renewable_ex_nuclear,274885.5
2015-01-01,austria,other,other,223254.75
2015-01-01,austria,solar,renewable_ex_nuclear,11730.75
2015-01-01,austria,wind_onshore,renewable_ex_nuclear,430807.75
2016-01-01,austria,biomass,renewable_ex_nuclear,188850
2016-01-01,austria,fossil_gas,fossil,1011132.75
2016-01-01,austria,fossil_hard_coal,fossil,199478.75
2016-01-01,austria,hydro_pumped_storage,renewable_ex_nuclear,541888
2016-01-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,1166971.75
2016-01-01,austria,hydro_water_reservoir,renewable_ex_nuclear,166019.75
2016-01-01,austria,other,other,13728
2016-01-01,austria,solar,renewable_ex_nuclear,17030.5
2016-01-01,austria,waste,fossil,62400
2016-01-01,austria,wind_onshore,renewable_ex_nuclear,346430.5
2017-01-01,austria,biomass,renewable_ex_nuclear,197869
2017-01-01,austria,fossil_gas,fossil,1951801.75
2017-01-01,austria,fossil_hard_coal,fossil,272463
2017-01-01,austria,hydro_pumped_storage,renewable_ex_nuclear,822112
2017-01-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,976631.75
2017-01-01,austria,hydro_water_reservoir,renewable_ex_nuclear,263732.25
2017-01-01,austria,other,other,14256
2017-01-01,austria,solar,renewable_ex_nuclear,17339
2017-01-01,austria,waste,fossil,64800
2017-01-01,austria,wind_onshore,renewable_ex_nuclear,501531.25
2018-01-01,austria,biomass,renewable_ex_nuclear,206463
2018-01-01,austria,fossil_gas,fossil,992410.75
2018-01-01,austria,fossil_hard_coal,fossil,184304.75
2018-01-01,austria,hydro_pumped_storage,renewable_ex_nuclear,652805
2018-01-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,2195896.75
2018-01-01,austria,hydro_water_reservoir,renewable_ex_nuclear,293107.75
2018-01-01,austria,other,other,14256
2018-01-01,austria,solar,renewable_ex_nuclear,29601.5
2018-01-01,austria,waste,fossil,64800
2018-01-01,austria,wind_onshore,renewable_ex_nuclear,540830
2019-01-01,austria,biomass,renewable_ex_nuclear,198864
2019-01-01,austria,fossil_gas,fossil,1352792
2019-01-01,austria,fossil_hard_coal,fossil,154467.75
2019-01-01,austria,hydro_pumped_storage,renewable_ex_nuclear,582595.5
2019-01-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,1685424
2019-01-01,austria,hydro_water_reservoir,renewable_ex_nuclear,272880.75
2019-01-01,austria,other,other,14256
2019-01-01,austria,solar,renewable_ex_nuclear,12990
2019-01-01,austria,waste,fossil,64800
2019-01-01,austria,wind_onshore,renewable_ex_nuclear,790388
2020-01-01,austria,biomass,renewable_ex_nuclear,129274
2020-01-01,austria,fossil_gas,fossil,1530695.75
2020-01-01,austria,fossil_hard_coal,fossil,99110.25
2020-01-01,austria,hydro_pumped_storage,renewable_ex_nuclear,578428.75
2020-01-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,1210633
2020-01-01,austria,hydro_water_reservoir,renewable_ex_nuclear,264733.75
2020-01-01,austria,other,other,13728
2020-01-01,austria,solar,renewable_ex_nuclear,15532
2020-01-01,austria,waste,fossil,62400
2020-01-01,austria,wind_onshore,renewable_ex_nuclear,359662
2021-01-01,austria,biomass,renewable_ex_nuclear,114306
2021-01-01,austria,fossil_gas,fossil,1222043
2021-01-01,austria,hydro_pumped_storage,renewable_ex_nuclear,552900.75
2021-01-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,1217234.25
2021-01-01,austria,hydro_water_reservoir,renewable_ex_nuclear,229044.25
2021-01-01,austria,other,other,13728
2021-01-01,austria,solar,renewable_ex_nuclear,18403
2021-01-01,austria,waste,fossil,62400
2021-01-01,austria,wind_onshore,renewable_ex_nuclear,498733
2022-01-01,austria,biomass,renewable_ex_nuclear,208493
2022-01-01,austria,fossil_gas,fossil,1350307.5
2022-01-01,austria,hydro_pumped_storage,renewable_ex_nuclear,643204.25
2022-01-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,1548389
2022-01-01,austria,hydro_water_reservoir,renewable_ex_nuclear,234864
2022-01-01,austria,other,other,14256
2022-01-01,austria,solar,renewable_ex_nuclear,20696
2022-01-01,austria,waste,fossil,64800
2022-01-01,austria,wind_onshore,renewable_ex_nuclear,832884
2023-01-01,austria,biomass,renewable_ex_nuclear,158312
2023-01-01,austria,fossil_gas,fossil,879878.25
2023-01-01,austria,hydro_pumped_storage,renewable_ex_nuclear,699134.5
2023-01-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,1397512.5
2023-01-01,austria,hydro_water_reservoir,renewable_ex_nuclear,203144.5
2023-01-01,austria,other,other,14256
2023-01-01,austria,solar,renewable_ex_nuclear,20710
2023-01-01,austria,waste,fossil,64800
2023-01-01,austria,wind_onshore,renewable_ex_nuclear,770037
2015-02-01,austria,biomass,renewable_ex_nuclear,178473
2015-02-01,austria,fossil_gas,fossil,966633.5
2015-02-01,austria,fossil_hard_coal,fossil,329677.5
2015-02-01,austria,hydro_pumped_storage,renewable_ex_nuclear,437627.25
2015-02-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,980608.5
2015-02-01,austria,hydro_water_reservoir,renewable_ex_nuclear,232831
2015-02-01,austria,other,other,195082.75
2015-02-01,austria,solar,renewable_ex_nuclear,27140
2015-02-01,austria,wind_onshore,renewable_ex_nuclear,395861.75
2016-02-01,austria,biomass,renewable_ex_nuclear,184910
2016-02-01,austria,fossil_gas,fossil,862065
2016-02-01,austria,fossil_hard_coal,fossil,140590.75
2016-02-01,austria,hydro_pumped_storage,renewable_ex_nuclear,519938.75
2016-02-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,1826342
2016-02-01,austria,hydro_water_reservoir,renewable_ex_nuclear,153286
2016-02-01,austria,other,other,13200
2016-02-01,austria,solar,renewable_ex_nuclear,37742
2016-02-01,austria,waste,fossil,60000
2016-02-01,austria,wind_onshore,renewable_ex_nuclear,561709.5
2017-02-01,austria,biomass,renewable_ex_nuclear,179520
2017-02-01,austria,fossil_gas,fossil,1274934.25
2017-02-01,austria,fossil_hard_coal,fossil,161849
2017-02-01,austria,hydro_pumped_storage,renewable_ex_nuclear,562840
2017-02-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,1161749.25
2017-02-01,austria,hydro_water_reservoir,renewable_ex_nuclear,86676.75
2017-02-01,austria,other,other,12672
2017-02-01,austria,solar,renewable_ex_nuclear,45584
2017-02-01,austria,waste,fossil,57600
2017-02-01,austria,wind_onshore,renewable_ex_nuclear,365334.75
2018-02-01,austria,biomass,renewable_ex_nuclear,180882
2018-02-01,austria,fossil_gas,fossil,1052788.75
2018-02-01,austria,fossil_hard_coal,fossil,187005
2018-02-01,austria,hydro_pumped_storage,renewable_ex_nuclear,647141
2018-02-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,1403863.5
2018-02-01,austria,hydro_water_reservoir,renewable_ex_nuclear,319948.25
2018-02-01,austria,other,other,12672
2018-02-01,austria,solar,renewable_ex_nuclear,42369
2018-02-01,austria,waste,fossil,57600
2018-02-01,austria,wind_onshore,renewable_ex_nuclear,413222.5
2019-02-01,austria,biomass,renewable_ex_nuclear,177928
2019-02-01,austria,fossil_gas,fossil,1032233.75
2019-02-01,austria,fossil_hard_coal,fossil,153278.75
2019-02-01,austria,hydro_pumped_storage,renewable_ex_nuclear,371593.25
2019-02-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,1453902.75
2019-02-01,austria,hydro_water_reservoir,renewable_ex_nuclear,206081.5
2019-02-01,austria,other,other,12672
2019-02-01,austria,solar,renewable_ex_nuclear,27372
2019-02-01,austria,waste,fossil,57600
2019-02-01,austria,wind_onshore,renewable_ex_nuclear,635201
2020-02-01,austria,biomass,renewable_ex_nuclear,125678
2020-02-01,austria,fossil_gas,fossil,840636
2020-02-01,austria,fossil_hard_coal,fossil,90874
2020-02-01,austria,hydro_pumped_storage,renewable_ex_nuclear,510313.5
2020-02-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,1790544
2020-02-01,austria,hydro_water_reservoir,renewable_ex_nuclear,179134.25
2020-02-01,austria,other,other,13200
2020-02-01,austria,solar,renewable_ex_nuclear,28974
2020-02-01,austria,waste,fossil,60000
2020-02-01,austria,wind_onshore,renewable_ex_nuclear,986366
2021-02-01,austria,biomass,renewable_ex_nuclear,104351
2021-02-01,austria,fossil_gas,fossil,969514
2021-02-01,austria,hydro_pumped_storage,renewable_ex_nuclear,525680.25
2021-02-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,1679251.25
2021-02-01,austria,hydro_water_reservoir,renewable_ex_nuclear,200614.5
2021-02-01,austria,other,other,12672
2021-02-01,austria,solar,renewable_ex_nuclear,37404
2021-02-01,austria,waste,fossil,57600
2021-02-01,austria,wind_onshore,renewable_ex_nuclear,441666
2022-02-01,austria,biomass,renewable_ex_nuclear,185794
2022-02-01,austria,fossil_gas,fossil,1083685.75
2022-02-01,austria,hydro_pumped_storage,renewable_ex_nuclear,544440.75
2022-02-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,1331188
2022-02-01,austria,hydro_water_reservoir,renewable_ex_nuclear,128087
2022-02-01,austria,other,other,12672
2022-02-01,austria,solar,renewable_ex_nuclear,39709
2022-02-01,austria,waste,fossil,57600
2022-02-01,austria,wind_onshore,renewable_ex_nuclear,885331
2023-02-01,austria,biomass,renewable_ex_nuclear,148161
2023-02-01,austria,fossil_gas,fossil,911119.25
2023-02-01,austria,hydro_pumped_storage,renewable_ex_nuclear,522412.5
2023-02-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,1420218
2023-02-01,austria,hydro_water_reservoir,renewable_ex_nuclear,221650.5
2023-02-01,austria,other,other,12672
2023-02-01,austria,solar,renewable_ex_nuclear,47156
2023-02-01,austria,waste,fossil,57600
2023-02-01,austria,wind_onshore,renewable_ex_nuclear,734639
2015-03-01,austria,biomass,renewable_ex_nuclear,201838
2015-03-01,austria,fossil_gas,fossil,921465.5
2015-03-01,austria,fossil_hard_coal,fossil,266793.5
2015-03-01,austria,hydro_pumped_storage,renewable_ex_nuclear,430107.75
2015-03-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,1240963.75
2015-03-01,austria,hydro_water_reservoir,renewable_ex_nuclear,228117.5
2015-03-01,austria,other,other,232192
2015-03-01,austria,solar,renewable_ex_nuclear,55435.75
2015-03-01,austria,wind_onshore,renewable_ex_nuclear,439973
2016-03-01,austria,biomass,renewable_ex_nuclear,199943
2016-03-01,austria,fossil_gas,fossil,673885.75
2016-03-01,austria,fossil_hard_coal,fossil,165279.25
2016-03-01,austria,hydro_pumped_storage,renewable_ex_nuclear,471544.5
2016-03-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,1579564
2016-03-01,austria,hydro_water_reservoir,renewable_ex_nuclear,135584
2016-03-01,austria,other,other,14256
2016-03-01,austria,solar,renewable_ex_nuclear,69423
2016-03-01,austria,waste,fossil,64800
2016-03-01,austria,wind_onshore,renewable_ex_nuclear,443441.75
2017-03-01,austria,biomass,renewable_ex_nuclear,190186
2017-03-01,austria,fossil_gas,fossil,755616.25
2017-03-01,austria,fossil_hard_coal,fossil,131217
2017-03-01,austria,hydro_pumped_storage,renewable_ex_nuclear,512870.25
2017-03-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,1893196
2017-03-01,austria,hydro_water_reservoir,renewable_ex_nuclear,148291
2017-03-01,austria,other,other,13728
2017-03-01,austria,solar,renewable_ex_nuclear,76316.75
2017-03-01,austria,waste,fossil,62400
2017-03-01,austria,wind_onshore,renewable_ex_nuclear,481300.75
2018-03-01,austria,biomass,renewable_ex_nuclear,192088
2018-03-01,austria,fossil_gas,fossil,761881.25
2018-03-01,austria,fossil_hard_coal,fossil,192864
2018-03-01,austria,hydro_pumped_storage,renewable_ex_nuclear,529536.75
2018-03-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,1472827
2018-03-01,austria,hydro_water_reservoir,renewable_ex_nuclear,213276.25
2018-03-01,austria,other,other,13728
2018-03-01,austria,solar,renewable_ex_nuclear,78584.75
2018-03-01,austria,waste,fossil,62400
2018-03-01,austria,wind_onshore,renewable_ex_nuclear,485412.5
2019-03-01,austria,biomass,renewable_ex_nuclear,192477
2019-03-01,austria,fossil_gas,fossil,542819.5
2019-03-01,austria,fossil_hard_coal,fossil,99292
2019-03-01,austria,hydro_pumped_storage,renewable_ex_nuclear,405854.5
2019-03-01,austria,hydro_run_of_river_and_poundage,renewable_ex_nuclear,2309900.75
2019-03-01,austria,hydro_water_reservoir,renewable_ex_nuclear,236299.5
2019-03-01,austria,other,other,13728
2019-03-01,austria,solar,renewable_ex_nuclear,39762
2019-03-01,austria,waste,fossil,62400
2019-03-01,austria,wind_onshore,renewable_ex_nuclear,654155
2020-03-01,austria,biomass,renewable_ex_nuclear,137569
