mth,country,category_group,mwh
2015-01-01,austria,fossil,1134990
2015-01-01,austria,other,223254.75
2015-01-01,austria,renewable_ex_nuclear,2888747.5
2015-01-01,belgium,fossil,2082788
2015-01-01,belgium,nuclear,2292742
2015-01-01,belgium,other,414284
2015-01-01,belgium,renewable_ex_nuclear,875756
2015-01-01,bulgaria,fossil,2127956
2015-01-01,bulgaria,nuclear,1224888
2015-01-01,bulgaria,renewable_ex_nuclear,659760
2015-01-01,czech_republic,fossil,3142327
2015-01-01,czech_republic,nuclear,2345409
2015-01-01,czech_republic,other,77668
2015-01-01,czech_republic,renewable_ex_nuclear,798459
2015-01-01,denmark,fossil,1492947
2015-01-01,denmark,renewable_ex_nuclear,1214826
2015-01-01,estonia,fossil,678169
2015-01-01,estonia,renewable_ex_nuclear,106844
2015-01-01,finland,fossil,1727833
2015-01-01,finland,nuclear,1653809
2015-01-01,finland,other,161020
2015-01-01,finland,renewable_ex_nuclear,1556858
2015-01-01,france,fossil,4197767
2015-01-01,france,nuclear,35162108
2015-01-01,france,renewable_ex_nuclear,7323518
2015-01-01,germany,fossil,16474493.5
2015-01-01,germany,nuclear,6662782
2015-01-01,germany,other,3930564
2015-01-01,germany,renewable_ex_nuclear,12916854.5
2015-01-01,greece,fossil,2133819
2015-01-01,greece,renewable_ex_nuclear,679316
2015-01-01,hungary,fossil,799330.25
2015-01-01,hungary,nuclear,1156806.5
2015-01-01,hungary,other,58217.25
2015-01-01,hungary,renewable_ex_nuclear,134332
2015-01-01,ireland,fossil,1043012
2015-01-01,ireland,other,543
2015-01-01,ireland,renewable_ex_nuclear,763659.5
2015-01-01,italy,renewable_ex_nuclear,42436
2015-01-01,latvia,fossil,90464
2015-01-01,latvia,other,57519
2015-01-01,latvia,renewable_ex_nuclear,217833
2015-01-01,lithuania,fossil,113509
2015-01-01,lithuania,other,7819
2015-01-01,lithuania,renewable_ex_nuclear,222405
2015-01-01,luxembourg,fossil,33273.5
2015-01-01,luxembourg,renewable_ex_nuclear,25244.5
2015-01-01,montenegro,fossil,103655
2015-01-01,montenegro,renewable_ex_nuclear,51231
2015-01-01,netherlands,fossil,3073700
2015-01-01,netherlands,nuclear,293509.5
2015-01-01,netherlands,other,3939028
2015-01-01,netherlands,renewable_ex_nuclear,108266.25
