wk,country,category_group,mwh
2015-01-03,austria,fossil,241527.25
2015-01-03,austria,other,58432.5
2015-01-03,austria,renewable_ex_nuclear,687329.75
2015-01-03,belgium,fossil,500322
2015-01-03,belgium,nuclear,562273
2015-01-03,belgium,other,98776
2015-01-03,belgium,renewable_ex_nuclear,186841
2015-01-03,bulgaria,fossil,517152
2015-01-03,bulgaria,nuclear,280564
2015-01-03,bulgaria,renewable_ex_nuclear,197370
2015-01-03,czech_republic,fossil,754242
2015-01-03,czech_republic,nuclear,565874
2015-01-03,czech_republic,other,21198
2015-01-03,czech_republic,renewable_ex_nuclear,173352
2015-01-03,denmark,fossil,330669
2015-01-03,denmark,renewable_ex_nuclear,339358
2015-01-03,estonia,fossil,159881
2015-01-03,estonia,renewable_ex_nuclear,30540
2015-01-03,finland,fossil,368112
2015-01-03,finland,nuclear,399531
2015-01-03,finland,other,39603
2015-01-03,finland,renewable_ex_nuclear,361671
2015-01-03,france,fossil,1013561
2015-01-03,france,nuclear,8408164
2015-01-03,france,renewable_ex_nuclear,1597109
2015-01-03,germany,fossil,3613299.5
2015-01-03,germany,nuclear,1587164
2015-01-03,germany,other,1029583.75
2015-01-03,germany,renewable_ex_nuclear,3182902.75
2015-01-03,greece,fossil,547785
2015-01-03,greece,renewable_ex_nuclear,187705
2015-01-03,hungary,fossil,209378
2015-01-03,hungary,nuclear,275545.25
2015-01-03,hungary,other,13407.25
2015-01-03,hungary,renewable_ex_nuclear,35246.75
2015-01-03,ireland,fossil,246175
2015-01-03,ireland,other,13
2015-01-03,ireland,renewable_ex_nuclear,180907
2015-01-03,italy,renewable_ex_nuclear,14310
2015-01-03,latvia,fossil,17509
2015-01-03,latvia,other,13566
2015-01-03,latvia,renewable_ex_nuclear,53197
2015-01-03,lithuania,fossil,20951
2015-01-03,lithuania,other,2232
2015-01-03,lithuania,renewable_ex_nuclear,38360
2015-01-03,luxembourg,fossil,8288
2015-01-03,luxembourg,renewable_ex_nuclear,4743.5
2015-01-03,montenegro,fossil,18551
2015-01-03,montenegro,renewable_ex_nuclear,15231
2015-01-03,netherlands,fossil,760171
2015-01-03,netherlands,nuclear,70422.5
2015-01-03,netherlands,other,893720.5
2015-01-03,netherlands,renewable_ex_nuclear,29025
2015-01-03,norway,fossil,51652
2015-01-03,norway,other,4179
2015-01-03,norway,renewable_ex_nuclear,2775180
2015-01-03,poland,fossil,2144046
2015-01-03,poland,renewable_ex_nuclear,390289
2015-01-03,portugal,fossil,403074
2015-01-03,portugal,other,6471
2015-01-03,portugal,renewable_ex_nuclear,375216
2015-01-03,romania,fossil,369677
2015-01-03,romania,nuclear,137541
2015-01-03,romania,renewable_ex_nuclear,303227
2015-01-03,slovakia,fossil,54688
2015-01-03,slovakia,nuclear,273551
2015-01-03,slovakia,other,62675
2015-01-03,slovakia,renewable_ex_nuclear,97217
2015-01-03,slovenia,fossil,55264
2015-01-03,slovenia,nuclear,100313
2015-01-03,slovenia,renewable_ex_nuclear,57593
2015-01-03,spain,fossil,2002780
2015-01-03,spain,nuclear,1022077
2015-01-03,spain,other,6730
2015-01-03,spain,renewable_ex_nuclear,1253431
2015-01-03,sweden,nuclear,641893
2015-01-03,sweden,other,140348
2015-01-03,sweden,renewable_ex_nuclear,1026583
2015-01-03,switzerland,renewable_ex_nuclear,2257
2015-01-10,austria,fossil,166124.5
2015-01-10,austria,other,75762.25
2015-01-10,austria,renewable_ex_nuclear,775441
2015-01-10,belgium,fossil,377393
2015-01-10,belgium,nuclear,559511
2015-01-10,belgium,other,93802
2015-01-10,belgium,renewable_ex_nuclear,301101
2015-01-10,bulgaria,fossil,500339
2015-01-10,bulgaria,nuclear,298125
2015-01-10,bulgaria,renewable_ex_nuclear,171282
2015-01-10,czech_republic,fossil,620503
2015-01-10,czech_republic,nuclear,551938
2015-01-10,czech_republic,other,23358
2015-01-10,czech_republic,renewable_ex_nuclear,195650
2015-01-10,denmark,fossil,298771
2015-01-10,denmark,renewable_ex_nuclear,436953
2015-01-10,estonia,fossil,168824
2015-01-10,estonia,renewable_ex_nuclear,27050
2015-01-10,finland,fossil,423503
2015-01-10,finland,nuclear,388215
2015-01-10,finland,other,41390
2015-01-10,finland,renewable_ex_nuclear,380442
2015-01-10,france,fossil,619563
2015-01-10,france,nuclear,8230412
2015-01-10,france,renewable_ex_nuclear,2029784
2015-01-10,germany,fossil,2903508.25
2015-01-10,germany,nuclear,1567390.75
2015-01-10,germany,other,402973.5
2015-01-10,germany,renewable_ex_nuclear,4720868.25
2015-01-10,greece,fossil,515667
2015-01-10,greece,renewable_ex_nuclear,181478
2015-01-10,hungary,fossil,185761.25
2015-01-10,hungary,nuclear,278627.75
2015-01-10,hungary,other,14810
2015-01-10,hungary,renewable_ex_nuclear,34437.25
2015-01-10,ireland,fossil,224233
2015-01-10,ireland,other,116.5
2015-01-10,ireland,renewable_ex_nuclear,235492.5
2015-01-10,italy,renewable_ex_nuclear,14370
2015-01-10,latvia,fossil,30690
2015-01-10,latvia,other,13632
2015-01-10,latvia,renewable_ex_nuclear,47656
2015-01-10,lithuania,fossil,30352
2015-01-10,lithuania,other,1819
2015-01-10,lithuania,renewable_ex_nuclear,73293
2015-01-10,luxembourg,fossil,7882.5
2015-01-10,luxembourg,renewable_ex_nuclear,9970.25
2015-01-10,montenegro,fossil,27797
2015-01-10,montenegro,renewable_ex_nuclear,14734
2015-01-10,netherlands,fossil,632004.25
2015-01-10,netherlands,nuclear,70441.75
2015-01-10,netherlands,other,977979
2015-01-10,netherlands,renewable_ex_nuclear,45014.5
2015-01-10,norway,fossil,45678
2015-01-10,norway,other,4862
2015-01-10,norway,renewable_ex_nuclear,2747865
2015-01-10,poland,fossil,2188445
2015-01-10,poland,renewable_ex_nuclear,457710
2015-01-10,portugal,fossil,354850
2015-01-10,portugal,other,6687
2015-01-10,portugal,renewable_ex_nuclear,473732
2015-01-10,romania,fossil,511836
2015-01-10,romania,nuclear,202420
2015-01-10,romania,renewable_ex_nuclear,516386
2015-01-10,slovakia,fossil,57676
2015-01-10,slovakia,nuclear,270898
2015-01-10,slovakia,other,61231
2015-01-10,slovakia,renewable_ex_nuclear,135846
2015-01-10,slovenia,fossil,79822
2015-01-10,slovenia,nuclear,100368
2015-01-10,slovenia,renewable_ex_nuclear,65081
2015-01-10,spain,fossil,1888893
2015-01-10,spain,nuclear,1022031
2015-01-10,spain,other,11623
2015-01-10,spain,renewable_ex_nuclear,1708751
2015-01-10,sweden,nuclear,1008086
2015-01-10,sweden,other,214705
2015-01-10,sweden,renewable_ex_nuclear,1426794
2015-01-10,switzerland,renewable_ex_nuclear,1623
2015-01-17,austria,fossil,351291
2015-01-17,austria,other,41689.25
2015-01-17,austria,renewable_ex_nuclear,706985
2015-01-17,belgium,fossil,584585
2015-01-17,belgium,nuclear,526297
2015-01-17,belgium,other,103034
2015-01-17,belgium,renewable_ex_nuclear,154345
2015-01-17,bulgaria,fossil,527977
2015-01-17,bulgaria,nuclear,298328
2015-01-17,bulgaria,renewable_ex_nuclear,123965
2015-01-17,czech_republic,fossil,856922
2015-01-17,czech_republic,nuclear,565227
2015-01-17,czech_republic,other,16793
2015-01-17,czech_republic,renewable_ex_nuclear,189492
2015-01-17,denmark,fossil,425051
2015-01-17,denmark,renewable_ex_nuclear,110306
2015-01-17,estonia,fossil,158562
2015-01-17,estonia,renewable_ex_nuclear,21326
2015-01-17,finland,fossil,465054
2015-01-17,finland,nuclear,399711
2015-01-17,finland,other,41460
2015-01-17,finland,renewable_ex_nuclear,377585
2015-01-17,france,fossil,1184289
2015-01-17,france,nuclear,8588300
2015-01-17,france,renewable_ex_nuclear,1652836
2015-01-17,germany,fossil,4826564.25
2015-01-17,germany,nuclear,1631044.75
2015-01-17,germany,other,1222236.25
2015-01-17,germany,renewable_ex_nuclear,1781376.75
2015-01-17,greece,fossil,496187
2015-01-17,greece,renewable_ex_nuclear,148528
2015-01-17,hungary,fossil,185059
2015-01-17,hungary,nuclear,278464.5
2015-01-17,hungary,other,14588.5
2015-01-17,hungary,renewable_ex_nuclear,24056.5
2015-01-17,ireland,fossil,297403.5
2015-01-17,ireland,other,297.5
2015-01-17,ireland,renewable_ex_nuclear,108895
2015-01-17,latvia,fossil,20411
2015-01-17,latvia,other,13842
2015-01-17,latvia,renewable_ex_nuclear,61585
2015-01-17,lithuania,fossil,28503
2015-01-17,lithuania,other,1755
2015-01-17,lithuania,renewable_ex_nuclear,48629
2015-01-17,luxembourg,fossil,7851
2015-01-17,luxembourg,renewable_ex_nuclear,4558.25
2015-01-17,montenegro,fossil,26620
2015-01-17,montenegro,renewable_ex_nuclear,10993
2015-01-17,netherlands,fossil,807224.75
2015-01-17,netherlands,nuclear,70419.75
2015-01-17,netherlands,other,973047.75
2015-01-17,netherlands,renewable_ex_nuclear,9470
2015-01-17,norway,fossil,52305
2015-01-17,norway,other,5318
2015-01-17,norway,renewable_ex_nuclear,3180975
2015-01-17,poland,fossil,2487871
2015-01-17,poland,renewable_ex_nuclear,114833
2015-01-17,portugal,fossil,377198
2015-01-17,portugal,other,6108
2015-01-17,portugal,renewable_ex_nuclear,586027
2015-01-17,romania,fossil,571097
2015-01-17,romania,nuclear,203306
2015-01-17,romania,renewable_ex_nuclear,430662
2015-01-17,slovakia,fossil,43371
2015-01-17,slovakia,nuclear,170586
2015-01-17,slovakia,other,38915
2015-01-17,slovakia,renewable_ex_nuclear,73238
2015-01-17,slovenia,fossil,98731
2015-01-17,slovenia,nuclear,100202
2015-01-17,slovenia,renewable_ex_nuclear,82169
2015-01-17,spain,fossil,1929136
2015-01-17,spain,nuclear,955089
2015-01-17,spain,other,11944
2015-01-17,spain,renewable_ex_nuclear,1806189
2015-01-17,sweden,nuclear,1127880
2015-01-17,sweden,other,237584
2015-01-17,sweden,renewable_ex_nuclear,1455217
2015-01-17,switzerland,fossil,696
2015-01-17,switzerland,renewable_ex_nuclear,681
2015-01-24,austria,fossil,336985.75
2015-01-24,austria,other,43004.75
2015-01-24,austria,renewable_ex_nuclear,633050.25
2015-01-24,belgium,fossil,561765
2015-01-24,belgium,nuclear,552886
2015-01-24,belgium,other,101091
2015-01-24,belgium,renewable_ex_nuclear,213050
2015-01-24,bulgaria,fossil,505854
2015-01-24,bulgaria,nuclear,298182
2015-01-24,bulgaria,renewable_ex_nuclear,145145
2015-01-24,czech_republic,fossil,786167
2015-01-24,czech_republic,nuclear,567822
2015-01-24,czech_republic,other,14344
2015-01-24,czech_republic,renewable_ex_nuclear,209258
2015-01-24,denmark,fossil,370620
2015-01-24,denmark,renewable_ex_nuclear,309557
2015-01-24,estonia,fossil,164188
2015-01-24,estonia,renewable_ex_nuclear,23492
2015-01-24,finland,fossil,407442
2015-01-24,finland,nuclear,399712
2015-01-24,finland,other,33054
2015-01-24,finland,renewable_ex_nuclear,373137
2015-01-24,france,fossil,1249880
2015-01-24,france,nuclear,8548570
2015-01-24,france,renewable_ex_nuclear,1726724
2015-01-24,germany,fossil,4389996.75
2015-01-24,germany,nuclear,1626667.75
2015-01-24,germany,other,1105032.75
2015-01-24,germany,renewable_ex_nuclear,2896123
2015-01-24,greece,fossil,510980
2015-01-24,greece,renewable_ex_nuclear,116330
2015-01-24,hungary,fossil,191845
2015-01-24,hungary,nuclear,277820.75
2015-01-24,hungary,other,13652
2015-01-24,hungary,renewable_ex_nuclear,36406.25
2015-01-24,ireland,fossil,243574.5
2015-01-24,ireland,other,116
2015-01-24,ireland,renewable_ex_nuclear,194761
2015-01-24,italy,renewable_ex_nuclear,13499
2015-01-24,latvia,fossil,19613
2015-01-24,latvia,other,14069
2015-01-24,latvia,renewable_ex_nuclear,50064
2015-01-24,lithuania,fossil,29146
2015-01-24,lithuania,other,1775
2015-01-24,lithuania,renewable_ex_nuclear,57078
2015-01-24,luxembourg,fossil,8002.5
2015-01-24,luxembourg,renewable_ex_nuclear,5399.5
2015-01-24,montenegro,fossil,26343
2015-01-24,montenegro,renewable_ex_nuclear,9829
2015-01-24,netherlands,fossil,776528.5
2015-01-24,netherlands,nuclear,70471
2015-01-24,netherlands,other,937049.5
2015-01-24,netherlands,renewable_ex_nuclear,23251
2015-01-24,norway,fossil,51463
2015-01-24,norway,other,1187
2015-01-24,norway,renewable_ex_nuclear,2753907
2015-01-24,poland,fossil,2436992
2015-01-24,poland,renewable_ex_nuclear,207900
2015-01-24,portugal,fossil,358586
2015-01-24,portugal,other,6506
2015-01-24,portugal,renewable_ex_nuclear,473706
2015-01-24,romania,fossil,492066
2015-01-24,romania,nuclear,191461
2015-01-24,romania,renewable_ex_nuclear,506318
2015-01-24,slovakia,fossil,53893
2015-01-24,slovakia,nuclear,195288
2015-01-24,slovakia,other,45566
2015-01-24,slovakia,renewable_ex_nuclear,66583
2015-01-24,slovenia,fossil,76025
2015-01-24,slovenia,nuclear,100310
2015-01-24,slovenia,renewable_ex_nuclear,62105
2015-01-24,spain,fossil,1597554
2015-01-24,spain,nuclear,1007972
2015-01-24,spain,other,6213
2015-01-24,spain,renewable_ex_nuclear,2138226
2015-01-24,sweden,nuclear,1158708
2015-01-24,sweden,other,235504
2015-01-24,sweden,renewable_ex_nuclear,1459408
2015-01-24,switzerland,fossil,1047
2015-01-24,switzerland,renewable_ex_nuclear,563
2015-01-31,austria,fossil,347714.75
2015-01-31,austria,other,29579.75
2015-01-31,austria,renewable_ex_nuclear,518325.25
2015-01-31,belgium,fossil,547163
2015-01-31,belgium,nuclear,549703
2015-01-31,belgium,other,104688
2015-01-31,belgium,renewable_ex_nuclear,169603
2015-01-31,bulgaria,fossil,427602
2015-01-31,bulgaria,nuclear,298221
2015-01-31,bulgaria,renewable_ex_nuclear,184170
2015-01-31,czech_republic,fossil,855922
2015-01-31,czech_republic,nuclear,567767
2015-01-31,czech_republic,other,14251
2015-01-31,czech_republic,renewable_ex_nuclear,206461
2015-01-31,denmark,fossil,447171
2015-01-31,denmark,renewable_ex_nuclear,126567
2015-01-31,estonia,fossil,184383
2015-01-31,estonia,renewable_ex_nuclear,21290
2015-01-31,finland,fossil,475692
2015-01-31,finland,nuclear,370828
2015-01-31,finland,other,35288
2015-01-31,finland,renewable_ex_nuclear,416728
2015-01-31,france,fossil,1249383
2015-01-31,france,nuclear,8340456
2015-01-31,france,renewable_ex_nuclear,1996130
2015-01-31,germany,fossil,4879846
2015-01-31,germany,nuclear,1613201
2015-01-31,germany,other,1208688.5
2015-01-31,germany,renewable_ex_nuclear,2008688.25
2015-01-31,greece,fossil,326003
2015-01-31,greece,renewable_ex_nuclear,309303
2015-01-31,hungary,fossil,199040
2015-01-31,hungary,nuclear,277080.25
2015-01-31,hungary,other,12295
2015-01-31,hungary,renewable_ex_nuclear,21495.25
2015-01-31,ireland,fossil,314328
2015-01-31,ireland,other,321.5
2015-01-31,ireland,renewable_ex_nuclear,108396
2015-01-31,italy,renewable_ex_nuclear,18955
2015-01-31,latvia,fossil,17201
2015-01-31,latvia,other,13954
2015-01-31,latvia,renewable_ex_nuclear,50243
2015-01-31,lithuania,fossil,29880
2015-01-31,lithuania,other,1451
2015-01-31,lithuania,renewable_ex_nuclear,55157
2015-01-31,luxembourg,fossil,7788.5
2015-01-31,luxembourg,renewable_ex_nuclear,5097.25
2015-01-31,montenegro,fossil,27308
2015-01-31,montenegro,renewable_ex_nuclear,16471
2015-01-31,netherlands,fossil,890808
2015-01-31,netherlands,nuclear,70533.5
2015-01-31,netherlands,other,924894.5
2015-01-31,netherlands,renewable_ex_nuclear,10041
2015-01-31,norway,fossil,57827
2015-01-31,norway,other,4606
