wk,country,quantity_sum
2015-01-03,austria,3661350
2015-01-10,austria,4053620
2015-01-17,austria,4049127
2015-01-24,austria,4097000
2015-01-31,austria,4428944
2015-02-07,austria,4622969
2015-02-14,austria,4429650
2015-02-21,austria,4446541
2015-02-28,austria,4411577
2015-03-07,austria,4355945
2015-03-14,austria,4246942
2015-03-21,austria,4092421
2015-03-28,austria,3995119
2015-04-04,austria,4003682
2015-04-11,austria,3676600
2015-04-18,austria,3783965
2015-04-25,austria,3762078
2015-05-02,austria,3709856
2015-05-09,austria,3117375
2015-05-16,austria,3505137
2015-05-23,austria,3465682
2015-05-30,austria,3462857
2015-06-06,austria,3593543
2015-06-13,austria,3746899
2015-06-20,austria,3593449
2015-06-27,austria,3667606
2015-07-04,austria,3784932
2015-07-11,austria,3774692
2015-07-18,austria,3796957
2015-07-25,austria,3411433
2015-08-01,austria,3322529
2015-08-08,austria,3394049
2015-08-15,austria,3640461
2015-08-22,austria,3654517
2015-08-29,austria,3606927
2015-09-05,austria,3639154
2015-09-12,austria,3380684
2015-09-19,austria,3505820
2015-09-26,austria,3842808
2015-10-03,austria,3917704
2015-10-10,austria,3947391
2015-10-17,austria,3986428
2015-10-24,austria,3764683
2015-10-31,austria,3990139
2015-11-07,austria,4009071
2015-11-14,austria,4068170
2015-11-21,austria,4547738
2015-11-28,austria,3980237
2015-12-05,austria,4251813
2015-12-12,austria,4632522
2015-12-19,austria,4129248
2015-12-26,austria,3556811
2016-01-02,austria,4392658
2016-01-09,austria,4570200
2016-01-16,austria,4874953
2016-01-23,austria,4647773
2016-01-30,austria,4479514
2016-02-06,austria,4432110
2016-02-13,austria,4519339
2016-02-20,austria,4400016
2016-02-27,austria,4484167
2016-03-05,austria,4439560
2016-03-12,austria,4439102
2016-03-19,austria,4259375
2016-03-26,austria,3900643
2016-04-02,austria,3909168
2016-04-09,austria,3943465
2016-04-16,austria,3847169
2016-04-23,austria,4031657
2016-04-30,austria,3795356
2016-05-07,austria,3779633
2016-05-14,austria,3661146
2016-05-21,austria,3614546
2016-05-28,austria,3752689
2016-06-04,austria,3754629
2016-06-11,austria,3778105
2016-06-18,austria,3790974
2016-06-25,austria,3823636
2016-07-02,austria,3741557
2016-07-09,austria,3830940
2016-07-16,austria,3725587
2016-07-23,austria,3680645
2016-07-30,austria,3542590
2016-08-06,austria,3600274
2016-08-13,austria,3496121
2016-08-20,austria,3757121
2016-08-27,austria,3818714
2016-09-03,austria,3860275
2016-09-10,austria,3873138
2016-09-17,austria,3897514
2016-09-24,austria,3843034
2016-10-01,austria,4016415
2016-10-08,austria,4205662
2016-10-15,austria,4166231
2016-10-22,austria,3990422
2016-10-29,austria,3949103
2016-11-05,austria,4561592
2016-11-12,austria,4652385
