t,t0,treatment_period,yit,country,x_temp
16436,0,0,1134990,austria,37.175
16436,0,0,2082788,belgium,38.385
16436,0,0,2127956,bulgaria,30.243
16436,0,0,3142327,czech_republic,35.936
16436,0,0,1492947,denmark,37.307
16436,0,0,678169,estonia,30.426
16436,0,0,1727833,finland,29.694
16436,0,0,4197767,france,39.54
16436,0,0,16474493.5,germany,37.192
16436,0,0,2133819,greece,48.336
16436,0,0,799330.25,hungary,35.747
16436,0,0,90464,latvia,NA
16436,0,0,113509,lithuania,29.752
16436,0,0,33273.5,luxembourg,35.06
16436,0,0,3073700,netherlands,39.183
16436,0,0,210231,norway,30.533
16436,0,0,9624941,poland,34.165
16436,0,0,1514123,portugal,51.044
16436,0,0,2008244,romania,31.508
16436,0,0,222079,slovakia,36.227
16436,0,0,318625,slovenia,35.042
16436,0,0,7522447,spain,41.387
16467,0,0,1296311,austria,36.297
16467,0,0,2027421,belgium,37.767
16467,0,0,1745321,bulgaria,31.557
16467,0,0,3247403,czech_republic,33.966
16467,0,0,1449717,denmark,35.171
16467,0,0,680273,estonia,32.443
16467,0,0,1553325,finland,32.24
16467,0,0,4655440,france,38.599
16467,0,0,18086818.25,germany,35.087
16467,0,0,1511404,greece,48.159
16467,0,0,763183.75,hungary,36.763
16467,0,0,70400,latvia,NA
16467,0,0,116505,lithuania,30.932
16467,0,0,30040,luxembourg,33.832
16467,0,0,3477831,netherlands,38.237
16467,0,0,212924,norway,31.916
16467,0,0,9551589,poland,34.33
16467,0,0,1235406,portugal,51.792
16467,0,0,1829980,romania,36.077
16467,0,0,281345,slovakia,35.778
16467,0,0,287421,slovenia,33.907
16467,0,0,5412901,spain,43.46
16495,0,0,1188259,austria,43.686
16495,0,0,1720064,belgium,43.244
16495,0,0,1600319,bulgaria,37.29
16495,0,0,3413288,czech_republic,41.734
16495,0,0,1087632,denmark,40.298
16495,0,0,508431,estonia,36.433
16495,0,0,1428836,finland,35.027
16495,0,0,3639258,france,45.807
16495,0,0,18297627.25,germany,42.495
16495,0,0,1627848,greece,51.757
16495,0,0,731172.25,hungary,44.185
16495,0,0,73540,latvia,NA
16495,0,0,126658,lithuania,38.939
16495,0,0,30319.25,luxembourg,42.19
16495,0,0,3164398.25,netherlands,42.925
16495,0,0,227982,norway,37.146
16495,0,0,9935996,poland,41.334
16495,0,0,1330894,portugal,57.31
16495,0,0,1811859,romania,43.911
16495,0,0,291498,slovakia,43.595
16495,0,0,313248,slovenia,42.964
16495,0,0,5445184,spain,50.965
16526,0,0,785489.75,austria,51.201
16526,0,0,1623703,belgium,48.562
16526,0,0,1704825,bulgaria,45.428
16526,0,0,3031006,czech_republic,47.117
16526,0,0,1029368,denmark,44.777
16526,0,0,480411,estonia,40.7
16526,0,0,1093908,finland,39.482
16526,0,0,1727727,france,52.411
16526,0,0,15101003.75,germany,47.544
16526,0,0,1277021,greece,58.301
16526,0,0,476887.75,hungary,51.086
16526,0,0,42880,latvia,NA
16526,0,0,120929,lithuania,43.432
16526,0,0,26676,luxembourg,49.072
16526,0,0,2914749.25,netherlands,47.499
16526,0,0,210182,norway,43.313
16526,0,0,8787366,poland,46.057
16526,0,0,1389632,portugal,60.949
16526,0,0,1497105,romania,52.592
16526,0,0,248402,slovakia,51.228
16526,0,0,310374,slovenia,49.601
16526,0,0,5556862,spain,57.313
16556,0,0,282972.25,austria,59.076
16556,0,0,1362901,belgium,54.257
16556,0,0,1241076,bulgaria,58.665
