t,t0,treatment_period,yit,country,x_load,temp
16438,0,0,241527.25,austria,3661350,34.257
16438,0,0,500322,belgium,6500359,39.136
16438,0,0,517152,bulgaria,810491,21.504
16438,0,0,754242,czech_republic,1170904,35.246
16438,0,0,330669,denmark,607701,38.545
16438,0,0,159881,estonia,158280,26.586
16438,0,0,368112,finland,1604408,25.913
16438,0,0,1013561,france,9882056,40.118
16438,0,0,3613299.5,germany,33530211,38.299
16438,0,0,209378,hungary,2832682,30.973
16438,0,0,20951,lithuania,148965,21.034
16438,0,0,8288,luxembourg,284615,35.658
16438,0,0,760171,netherlands,7968121,40.591
16438,0,0,51652,norway,2581867,31.997
16438,0,0,2144046,poland,2698818,28.801
16438,0,0,403074,portugal,911146,46.914
16438,0,0,369677,romania,588569,22.031
16438,0,0,54688,slovakia,477686,32.826
16438,0,0,2002780,spain,4120754,42.017
16445,0,0,166124.5,austria,4053620,42.661
16445,0,0,377393,belgium,6437131,44.226
16445,0,0,500339,bulgaria,768833,30.954
16445,0,0,620503,czech_republic,1162114,41.385
16445,0,0,298771,denmark,625505,40.868
16445,0,0,168824,estonia,154196,31.851
16445,0,0,423503,finland,1625822,30.057
16445,0,0,619563,france,9189149,45.645
16445,0,0,2903508.25,germany,35368654,43.739
16445,0,0,185761.25,hungary,2896832,41.701
16445,0,0,30352,lithuania,189145,34.906
16445,0,0,7882.5,luxembourg,275056,41.963
16445,0,0,632004.25,netherlands,7084793,44.614
16445,0,0,45678,norway,2644505,30.261
16445,0,0,2188445,poland,2846879,40.831
16445,0,0,354850,portugal,919341,52.439
16445,0,0,511836,romania,1061549,34.491
16445,0,0,57676,slovakia,499935,41.358
16445,0,0,1888893,spain,4399524,42.397
16452,0,0,351291,austria,4049127,38.776
16452,0,0,584585,belgium,6676661,32.865
16452,0,0,527977,bulgaria,736881,38.607
16452,0,0,856922,czech_republic,1171700,34.554
16452,0,0,425051,denmark,617591,34.187
16452,0,0,158562,estonia,151858,29.773
16452,0,0,465054,finland,1635682,28.198
16452,0,0,1184289,france,10429636,34.209
16452,0,0,4826564.25,germany,35725748,32.179
16452,0,0,185059,hungary,2867363,40.963
16452,0,0,28503,lithuania,193157,30.278
16452,0,0,7851,luxembourg,305163,30.877
16452,0,0,807224.75,netherlands,7103120,32.785
16452,0,0,52305,norway,2726888,26.554
16452,0,0,2487871,poland,2856618,34.528
