t,t0,treatment_period,yit,country,category_group,x_temp
16436,0,0,1134990,austria,fossil,37.175
16436,0,0,223254.75,austria,other,37.175
16436,0,0,2888747.5,austria,renewable_ex_nuclear,37.175
16436,0,0,2082788,belgium,fossil,38.385
16436,0,0,2292742,belgium,nuclear,38.385
16436,0,0,414284,belgium,other,38.385
16436,0,0,875756,belgium,renewable_ex_nuclear,38.385
16436,0,0,2127956,bulgaria,fossil,30.243
16436,0,0,1224888,bulgaria,nuclear,30.243
16436,0,0,659760,bulgaria,renewable_ex_nuclear,30.243
16436,0,0,3142327,czech_republic,fossil,35.936
16436,0,0,2345409,czech_republic,nuclear,35.936
16436,0,0,77668,czech_republic,other,35.936
16436,0,0,798459,czech_republic,renewable_ex_nuclear,35.936
16436,0,0,1492947,denmark,fossil,37.307
16436,0,0,1214826,denmark,renewable_ex_nuclear,37.307
16436,0,0,678169,estonia,fossil,30.426
16436,0,0,106844,estonia,renewable_ex_nuclear,30.426
16436,0,0,1727833,finland,fossil,29.694
16436,0,0,1653809,finland,nuclear,29.694
16436,0,0,161020,finland,other,29.694
16436,0,0,1556858,finland,renewable_ex_nuclear,29.694
16436,0,0,4197767,france,fossil,39.54
16436,0,0,35162108,france,nuclear,39.54
16436,0,0,7323518,france,renewable_ex_nuclear,39.54
16436,0,0,16474493.5,germany,fossil,37.192
16436,0,0,6662782,germany,nuclear,37.192
16436,0,0,3930564,germany,other,37.192
16436,0,0,12916854.5,germany,renewable_ex_nuclear,37.192
16436,0,0,2133819,greece,fossil,48.336
16436,0,0,679316,greece,renewable_ex_nuclear,48.336
16436,0,0,799330.25,hungary,fossil,35.747
16436,0,0,1156806.5,hungary,nuclear,35.747
16436,0,0,58217.25,hungary,other,35.747
16436,0,0,134332,hungary,renewable_ex_nuclear,35.747
16436,0,0,90464,latvia,fossil,NA
16436,0,0,57519,latvia,other,NA
16436,0,0,217833,latvia,renewable_ex_nuclear,NA
16436,0,0,113509,lithuania,fossil,29.752
16436,0,0,7819,lithuania,other,29.752
16436,0,0,222405,lithuania,renewable_ex_nuclear,29.752
16436,0,0,33273.5,luxembourg,fossil,35.06
16436,0,0,25244.5,luxembourg,renewable_ex_nuclear,35.06
16436,0,0,3073700,netherlands,fossil,39.183
16436,0,0,293509.5,netherlands,nuclear,39.183
16436,0,0,3939028,netherlands,other,39.183
16436,0,0,108266.25,netherlands,renewable_ex_nuclear,39.183
16436,0,0,210231,norway,fossil,30.533
16436,0,0,15801,norway,other,30.533
16436,0,0,11888425,norway,renewable_ex_nuclear,30.533
16436,0,0,9624941,poland,fossil,34.165
16436,0,0,1213294,poland,renewable_ex_nuclear,34.165
16436,0,0,1514123,portugal,fossil,51.044
16436,0,0,26888,portugal,other,51.044
16436,0,0,2046806,portugal,renewable_ex_nuclear,51.044
16436,0,0,2008244,romania,fossil,31.508
16436,0,0,768783,romania,nuclear,31.508
16436,0,0,1860954,romania,renewable_ex_nuclear,31.508
16436,0,0,222079,slovakia,fossil,36.227
