Feature,Length Scale,Relative Importance,Cumulative Importance
y_poland,480.9645485957304,0.3913659409277789,0.3913659409277789
y_estonia,1028.2654680100736,0.18305889769725148,0.5744248386250304
y_belgium,1260.3560422613475,0.1493491813442986,0.723774019969329
y_czech_republic,1404.6701384846688,0.13400522867036582,0.8577792486396948
y_france,22499.71505653669,0.008366023420344888,0.8661452720600397
y_portugal,22499.958632621005,0.008365932852923886,0.8745112049129635
y_slovenia,22499.965740030428,0.008365930210248307,0.8828771351232119
y_austria,22499.985536594184,0.008365922849502652,0.8912430579727145
y_luxembourg,22499.98687053319,0.008365922353518771,0.8996089803262333
y_netherlands,22499.993326510998,0.008365919953064323,0.9079749002792976
y_hungary,22499.99461170341,0.008365919475205682,0.9163408197545033
y_greece,22499.994767764976,0.008365919417179069,0.9247067391716823
y_spain,22499.99497601605,0.00836591933974742,0.9330726585114297
y_slovakia,22499.998581695265,0.008365917999088604,0.9414385765105183
x_temp,22499.99875051429,0.00836591793631855,0.9498044944468369
y_lithuania,22499.999182096737,0.008365917775848174,0.9581704122226851
y_norway,22499.99925214944,0.008365917749801279,0.9665363299724864
y_bulgaria,22499.99962864572,0.008365917609812968,0.9749022475822994
y_romania,22499.999993321588,0.00836591747421971,0.983268165056519
y_denmark,22499.999999979,0.008365917471744361,0.9916340825282633
y_finland,22499.999999999876,0.0083659174717366,1.0
